"RelativePath","Bytes","SHA256"
"config\scenarios\fbwa_roll_rc_continuous.json","517","FE7FA650F5880D177E94A9BD8110DB52C904436D756C66A1E2F2BC56BC8A756C"
"config\scenarios\fbwa_roll_rc_negative.json","446","F1B73B69BE64AB1D8D61DE31CE27DD19D50F6721239916F77CDBD45A9F855EEC"
"config\scenarios\fbwa_roll_rc_positive.json","444","42865ABBCD569101CB53415BF3E0E4C926DBCD5523175FADFF1D7404D0A7B6A1"
"config\scenarios\fbwa_roll_scale.json","470","B91C0D98C240E0CF2256E6E3754570D6FC1802736B480BC84A832271AEBB7C71"
"config\scenarios\fbwa_roll_step.json","414","A7FA7C41FA86D9995A3CC9C7172F17FEA97B20837593D9536362C90A00B35244"
"config\scenarios\fbwb_speed_step.json","114","6C41D16E3F2C664575C912408EA877810438C4FA0FC8D6BA2740CF4B093A8F4E"
"config\scenarios\guided_experiment.json","130","F830127850B21C0FC4F10706485E8C02660D002914002E4E4C1C4A845A0CE9BE"
"config\simulation\default.json","354","302EF9C48F22245DA80C5D345986E4387EE22A94180F369E05EC002F28DF1303"
"docs\ACTUATOR_SIGNAL_CHAIN.md","1468","22EDCCFC5B05C4D1150619830A9CC69046D7E9460A96266ED8F4AF5B5AF1B967"
"docs\AUTOTUNE_EXPERIMENT_DESIGN.md","2133","6C09DBE7E3970A65154F0AE4E4870A20690501AA332A9BAF3A6195FEA0BC08DA"
"docs\BUS_ARCHITECTURE.md","1315","1C4A1BCC1159AEBDF91FACD640BA7F01E17296C3EABE8AAC43F5602E293A190D"
"docs\evidence\internal_ATT.csv","43353","3AF8C6D731F9E15D9CE91CB88ED21B4A7C3B9647E3714C9072E5B90D546BF8CB"
"docs\evidence\internal_CTUN.csv","51178","4A67EA07894CD76BA93BD974C5742F8F8821E659E3A8E8D57A3D1D815C3A3629"
"docs\evidence\internal_MODE.csv","114","E843B563B55F5484EA61448ECF6C9B318105877221B049A486D31DE6A52B043A"
"docs\evidence\internal_NTUN.csv","51671","E7CDC40023470493F1DFFAF9FF483D9617E0869DFCB06FBC69B84F89FDFD72DB"
"docs\evidence\internal_PARM.csv","64222","E535B343F4B0DA98FF578B72497CE9765AFF1D999A729E894E33F8472D93E75E"
"docs\evidence\internal_PIDP.csv","71565","5195A63D5868779608781C6327EE9DA201D82EC7EA7A37D68F64E6052DEC01E9"
"docs\evidence\internal_PIDR.csv","73162","5EFDD24CD2A87F82568EB7FFFB393CE0C6B0D146C982C9824641902832702C5C"
"docs\evidence\internal_PIDY.csv","44293","3018FB4C95CDB6F618D090A35027B1FC1A7FA84017322CBF17C38093E7BA8F54"
"docs\evidence\internal_RCIN.csv","53937","0F7818C9F36569C003D52C86CD5821CA8773AA49E0B6B3A78236EBF1D682FF42"
"docs\evidence\internal_RCOU.csv","49247","D087E1127AA34EC0882D7723B89E57A6F0F8035222FEB14D0A85E41E1A7B5D2C"
"docs\evidence\internal_VER.csv","210","75E06F5A0C3D02F33C28553508959A3B7C067AEA83152C828194D2BE905805B7"
"docs\evidence\parameter_readback.csv","35870","4637FE1C58BF4FB651A8F174AD34AC5A2396CBAEBD0F40161B08BF826477B2B3"
"docs\FBWA_COMMAND_PATH_AUDIT.md","2188","F030357ABBC67938215B8E16671AC7817E06CE8B74AE89932A33D750184B8CF6"
"docs\JSON_PHYSICS_INTERFACE_AUDIT.md","2261","09FD915D259993F1B22638FC5A682DF920F8B7044C2562B3145E13B3E0935B13"
"docs\RC_INPUT_INTERFACE_DESIGN.md","1544","D75FEC865CAA0C92E43B9B3CB98F9D0997942DB96656D156F32F2E541612BE85"
"docs\SENSOR_RESPONSIBILITY_MATRIX.md","1347","BD9A9B3A9792D02D01B84FF0E66DA1494A85C8AC655E838C7D4FEC50F6CB111F"
"docs\VERIFICATION_NOTES.md","988","92BECB0DBF822B895412ACE2FEA239E5859DC43D30E8A37F10DB926CF07A2C16"
"environment_report.txt","5652","8D80AFE7C377CA07A31C1388FAE889B532AF2584094C13EACA126155FDF25E67"
"finalize_run.m","1659","69974A49F4DFD5B6016A6EAD600207DC4E82D9A678D8DC7EE57243220A20F113"
"FLIGHTGEAR_INTEGRATION_PLAN.md","1541","504AA20320037B5377FF4E9DF60F762CE85F72DB708A98F1E4FCE53BDD399C0B"
"interface_acceptance.csv","729","5FBDA6B0B4BF3947098D9BF61AC75C2834A4EF9F274B365F0FDF08153F8B14D8"
"matlab\+v51\analyzeRun.m","35479","425B266EC4BA6626B9F89304AF56408794BC41FC0BA3FE7D7403164F1DA87F22"
"matlab\+v51\applyParamFile.m","860","EBB0536CF0653F2AB188D53D7693FC535F8BA2FBB8EA6C567F22B73951B0E6CA"
"matlab\+v51\checkEnvironment.m","3166","3A21D2BABF06ECF5589881267E49E806A2F1FDA277FEEFCB705B7665E6784A20"
"matlab\+v51\configureRun.m","3096","F93B1EB896403F3F8E3AD472B17FDDDAAD93FC29A4F4C6530CA8E64E4C1B81A3"
"matlab\+v51\exportDataFlash.m","2928","7CC853333CD3CB98819E2C1CA202925C247E988CFE19BC3BDD8780F57C5A1ED1"
"matlab\+v51\invokePowerShell.m","1196","9043280ADC0BF5ECB76D6A18B32BB0C858048D66F217C473E3040B3F5EC5A6B2"
"matlab\+v51\loadConfiguration.m","997","0D271B7985BD9549E9F5F0A63CD10EBD57D1FF4E332ECBBE77F76EBD460E558E"
"matlab\+v51\loadParameterMetadata.m","2333","DBD86F38013165C324C84FE89BCBA6758D59064E9DC80F0ABD91B7A32C97DB54"
"matlab\+v51\projectRoot.m","181","40C1D50BE46CCE54640E80AFD5030F037648EA3A1A6F385733CD7EE9D857C859"
"matlab\+v51\runScenario.m","6033","0084BABD7ACE6A58B07A7D6F4EA2DB34A424FFE985D3312A3D659B793FC27295"
"matlab\+v51\runSmokeTest.m","1428","56913400F0E92EA443A3A87D619187EBF57606771746A1FF3C943B43467FFF8A"
"matlab\+v51\validateParameterReadback.m","1868","36F0DB3AF2B54B8244F9ABDA8C562B6B7B3D778C163ED6A8CBCC271C7BDEEFAB"
"matlab\+v51\validateParameterSet.m","3670","AC0E4990066CD16E6B7BDBA94A2A31F41A0ACA526E08263EAC362B3C7E25BE71"
"matlab\+v51\writeRepeatabilitySummary.m","2376","4F14A7B77FBECEDA849FC5CCF3D0A5B87AEF409D3587C6A6D1784B9C6F4AAE3D"
"matlab\+v51\writeSimulationData.m","2702","F7C94C843519C5BCA0C68DA8FDFD0A096EA93C5CB9358CB89D0C0705881FE745"
"matlab\+v51\writeSpeedupSummary.m","2738","97CA14F3A9BE250FFECE139885542CACD9EFF3C1549C1A8E9CB59B3557A5B20B"
"matlab\+v52\aggregateInterfaceAcceptance.m","2648","232F2B5B38B95FB2870ADA7C7ABBB13ED49B6D22ABDA48F2DC04856DA4D2B78A"
"matlab\+v52\analyzeInterfaceRun.m","14764","FB1D484250933DB2CC7C9E9AAE49BA190D601E884073CA8A6326885D3E3025D0"
"matlab\+v52\analyzeRun.m","35479","3114D68E30AAFAFBB6E5299B5D7412DA35913909E0165983C4E85F2717E151ED"
"matlab\+v52\applyParamFile.m","860","DA19A757FA1CAB63E0063594D91300FBF3210847F872605E79F1408AF02E5105"
"matlab\+v52\checkEnvironment.m","3173","E0531F31244100DCD0A75C61A0DF3E9A1E51DC3A6CA98E6A6D375F4C3D81451E"
"matlab\+v52\configureRun.m","4248","BB488F1CA7582107BAEECF719770858665182233C9B16025244CD3BCF0CA1782"
"matlab\+v52\exportDataFlash.m","2928","FCC1AA4350B626874B14054CF8716DF0554DDFB9979586F97175E04C6E60EF4F"
"matlab\+v52\invokePowerShell.m","1196","0F7385316A12542436E18C77C1B75DD1031D0DC7E4BA45D0C1C11A17F63C18C9"
"matlab\+v52\loadConfiguration.m","1552","0112BCAD4982E3D17B71CEECDB560B2D755AAE78688CAACE744A29102F0AD5FA"
"matlab\+v52\loadParameterMetadata.m","2333","3FCC27D3B68B8DF4DF9381068034BC749491D2994263E13553884CE72E3F8A92"
"matlab\+v52\projectRoot.m","181","BC5DAAD83F6EAAA86A5C82AE0EA467741409ACF785CD0D2BB2A63A20BBE4D7B4"
"matlab\+v52\runScenario.m","6865","44F69F6F2335B6E94D64DEB06A004F8FF4E19C2C192CC1AA1A40C2346628C945"
"matlab\+v52\runSmokeTest.m","1468","AAE4D55311A6836E0E42CACF3331497856E697A366DD40DDE94C6A57D63DF7B0"
"matlab\+v52\validateParameterReadback.m","1868","36F0DB3AF2B54B8244F9ABDA8C562B6B7B3D778C163ED6A8CBCC271C7BDEEFAB"
"matlab\+v52\validateParameterSet.m","3670","5AE1D0DE4CE13E7B0CFEB106E830FD989AA291846A5DC60EC146BE2A73E4AF57"
"matlab\+v52\writeInterfacePlots.m","3168","94B5776F015B8F27380E8944E0D55713CC67E1A6B90788672487ECB966A4D752"
"matlab\+v52\writeRepeatabilitySummary.m","2376","DB1C5A8C80CDD1E95B151E5FB7C61C52C5E1D4A058969E9510F1FA0C20A24DAF"
"matlab\+v52\writeSimulationData.m","3214","3E423C670793E8EFC92AB408A08821314B20A60CB2BE8278A9B9CDE62E3D4B4B"
"matlab\+v52\writeSpeedupSummary.m","2738","6B03A6CE6EB4CB030DB3464D645157DAE7DE2326A784284DACE912588A134084"
"model\active_aircraft.txt","6","388C38C2D5521D23D0AC370E9258BA5E6D7F79F1C03B2B39E5D95D65B584E924"
"model\aircraft_fingerprint.m","2969","A586B24CA7E64ECE972804194A14CCCD449F264E4AB83EA88FC950B2AB477767"
"model\aircraft_result_identity.m","443","5078CD47C663A488F351846BF5BF4E5F05FDAA75E0C8735050A51CB312648FC9"
"model\aircraft\UAV_A\input\aero_data\#U65e0#U4eba#U673a#U6c14#U52a8#U4e0e#U52a8#U5bfc#U6570#U6570#U636e.xlsx","1328523","CF5353D8B8472218077D025C0BE6A454E6DD2D2CB3792CE89F6D88FA7DF48A5E"
"model\aircraft\UAV_A\input\aero_data\00_model_configurations.csv","7524","6223F18B1CDC5BC45041D2C5B8E9FC5C502B9EAD00F8E62A3AB29B1D4A494D2F"
"model\aircraft\UAV_A\input\aero_data\01_aerodynamic_polars.csv","598521","224D69169DE347206BF452555DBE3B14123A2F7CAE332C0B1C02F19C9CFAF9A0"
"model\aircraft\UAV_A\input\aero_data\02_stability_derivatives_nondimensional.csv","253710","15B967BA3F11A4DB0596D5DB0113E73FD2DF8A8C2A416CC655A7861EE6F93E60"
"model\aircraft\UAV_A\input\aero_data\03_stability_derivatives_dimensional.csv","263963","F13CD65A660579F436E62001305AF9690CC50675F3A7203E77BD1A56BE922F6B"
"model\aircraft\UAV_A\input\aero_data\04_state_matrix_longitudinal.csv","175081","828F0ED5453BD30FCECFD74D7A0C59767B0022CBC29C05CBBB226ACCA82E9447"
"model\aircraft\UAV_A\input\aero_data\05_state_matrix_lateral.csv","178745","D40AE1D9F3A8526F1EEE2F5CC367932D1F83F785F016B5A697D107B0DD95DA1A"
"model\aircraft\UAV_A\input\aero_data\06_control_vectors.csv","155883","233D04C6DDBE0436449C530A9FC46A8F61EE5F97EDF41B5BEE34B9249D07AB0C"
"model\aircraft\UAV_A\input\aero_data\07_eigenmodes.csv","1144853","B86A361AF63794127AD92D3E5ADF1119360425C8E631D6EF4D9B92939C8C28B6"
"model\aircraft\UAV_A\input\aero_data\README_#U4f7f#U7528#U8bf4#U660e.txt","1000","47AF63E671F1F45A7591D33DD5E9FB02F3908D34D976866C898C9CF493354643"
"model\aircraft\UAV_A\input\aero_data\simulation_aero_data.json","5994449","8BB505CABEA4E3CFB021AC39DBA09916BC5B42FBD2D44D174FD892C74ACC8855"
"model\aircraft\UAV_A\input\aero_data\uav_aero_simulation_data.mat","284370","8D45DE6F19E2A68F4A4762017F3DC1F57877AEBD8B5EBE35DFB79AD30F225798"
"model\aircraft\UAV_A\input\battery_data\90150267NSH4-80000-250811EP(1).xlsx","119149","EBB686BAB5E4240C28889DB9614E4C029DA6D65A7FE4B6F7BE46BC62667DB271"
"model\aircraft\UAV_A\input\flight_data\0816#U65e5#U5fd7#U5206#U6790#U7ed3#U8bba_#U53c2#U8003.md","8415","C0586F009DEECAF64375005911154A6532174D81A4C9E05A12366E10523EE441"
"model\aircraft\UAV_A\input\flight_data\HL20260816_afterflight.param","18796","852CB7382EDBFD60C7BC8A1B8EBF9339E4EF1ECEEFD3274BC5F299E0AAE1BD76"
"model\aircraft\UAV_A\input\flight_data\HL20260816before_flight.param","18803","358B4E3EC8D5F8281668AE20BF963D1ACC5DDCE018155A8B57212AC47DA42937"
"model\aircraft\UAV_A\input\prop_data\propulsion_bench_clean.csv","5238","ACA42A80C446DE9682A34EBF4F56131C03A43106C256A66D1CB1CB97891B502B"
"model\aircraft\UAV_A\input\prop_data\propulsion_bench_multispeed_clean.csv","20434","12990F9EF8D9A86EEF181C8A90CFE9128E464E5A9909674022994FB702A9FDCB"
"model\aircraft\UAV_A\v4_2_config_snapshot.mat","19613","6CFB7146C298A7F6261EA65478E754637ACA7E41C2560CD85DC1F6202FF101C7"
"model\aircraft\UAV_A\workspace_manifest.json","346","09A69FD0B57EE41E9627EAB1F6B69EACF80D9E44D5F0448FEB86728BE5B365FD"
"model\apply_aircraft_definition.m","3813","A294BEEC26876EB3265E0A1861841CF0F17F68C030DDC372ACA6C3E6599F4560"
"model\ardupilot_param_map.m","1267","5AE8D7B674C23B45033C52F5510C3AE454F62B8313914343B64A5C670F087DDC"
"model\ardupilot_sitl_controller.m","915","7C04B23E028F64676CC34CFCBAB95355F28F2F04723A7F33C4DA27FAD2DBCCC7"
"model\ArduPilotJSONBridge.m","13463","40069723959AA8D01B173247459A568043621588BB845A35C14E9244C612DBB5"
"model\autotune_cruise_range_objective.m","3619","F8E746630734F7AE66667C5338176D8DBAFBF96E1F366A0D0F93BD641B78B86D"
"model\autotune_objective_v31.m","25561","47DB9606D614CDA16FCF404BCCD56AD2F306BD5517F8B5B7F99CE341CF772BAC"
"model\autotune_objective.m","38882","53A110F9455ACE1D2277DD1823CF391567D288E0ED9677D1749D7DA7266CE51D"
"model\autotune_quality_gate_v31.m","6040","FFECFDE57019CCBC5DB2F1AC96FD8AF37CB68B24AA467817427213351359BB4B"
"model\autotune_quality_gate.m","7316","B04B70DB8BEDCBB60C4F5ECC78B9CDF14FF4DFFFBDD45A4AA6EA279F28757092"
"model\autotune_quality_report.m","1545","9F3F9D2FBD251B816CA5B8C20A7C906FEFA7AD795948898852B8A76042954543"
"model\autotune_speed_continuity_gate.m","7106","D6653D208FEAE3A0DEB2DE82BB591C09F7BA6FBEF136235C66FDCD5C3A97CF87"
"model\battery_terminal_voltage.m","663","4F678EB5F1F9D454D6003A6F0362B4F23F50F3EB5242015027B45BE07A5F5215"
"model\complete_v4_2_candidate_pool.m","3633","A6B55E5164723C6987365BCE821A9871FC59253B58137A62F3B26C4381BFBCBC"
"model\create_new_aircraft.m","2505","26DF58ECCF536E371CB2DC76380ED971526BA01EA57B3753BCBF2F114B498F69"
"model\create_v52_buses.m","2910","D72341887D7E1B70183648FAE11B077F4BA0AC0C2DF0D645A50A1BBC9DE23114"
"model\export_cruise_range_candidates.m","6191","C18EF08505DE0C62D17D510E96D45D597665B51BDF99F8D25D7BA6284A1BEE14"
"model\export_mission_planner_params.m","4611","1E78B2A4696649FD83CB375FF8CFD191B37150FD1250BA610AF065179562209B"
"model\finalize_uav_a_v4_3.m","1770","74492F7BF66096A315BD55BFE65CE169BB6CAC30B31D61E34CF477AEC38791D9"
"model\gain_group_definition.m","1384","1CEFB7122494273B909F4BD5D4563DCD91E5DD626B47FC45AA3D30C2832318C8"
"model\generate_uav_a_v4_3_final_analysis.m","48128","DFD96B8059E4333363BB8DFB1C38A69AAA35E2F128C7ABF9FA7A57D453470F26"
"model\generate_v4_2_final_report.m","9842","0BE2BDDBF62D07D854BDA1F3247284D3E09A61314B1685DD454675E81C4349CC"
"model\get_active_aircraft.m","376","588A0E97FF22F4D7536A3E9A548B035406790C294F85E6DFCDA4724C1E14B1DF"
"model\init_uav_model.m","234","9C0CF480F4448EBC8313498DB5E11D5419D149DDB987EC047BFFD8B12FD7C484"
"model\list_aircraft.m","1161","F8FC64552EA6AE4BA0F0ABAD0945EADD618F98A56200BD9B02B087BDB7E6D0D9"
"model\load_aircraft_definition.m","2135","5EEB31B048496DC0C7E4131F417A1AEFCF599F18A9308479BE74D19EBFE49349"
"model\load_propulsion_bench_data.m","5611","C30C49B15E966F4C8AA2D4E1089F0D75C8B2059B9B3D6C7FB0C9F0FEEEE1337C"
"model\load_xflr5_aero_data.m","6249","3248B1328BE8A8305719A70BDD79EB1F5842B2D291A1B55220D625D9824A270A"
"model\merge_struct_recursive.m","453","58F9D04C4474ABE4FDE50AC570403F7D83C03119C37FDE4AF5879F123E9877FB"
"model\mission_planner_parameter_table.m","5842","88FD1A7CF0D3FA8DE3E468C436C18D0965D2514BEF02AE393B0C0EBEB94932B7"
"model\plot_all_autotune_comparisons.m","287","3880CD84616D52C81051719B601C87AE3C027823B9A08D16249D7CD5B973BF97"
"model\plot_autotune_comparison.m","5313","FF487D701F1F0003BCEB35644D9E4AA489ED36CD45A61C9109EC8C463A72E261"
"model\read_aircraft_workspace_manifest.m","749","F434F42D3F797D78B026A2CE914C73F38E0B50C8D9878A864B7023CE3DA9BE19"
"model\rebind_aircraft_runtime_paths.m","842","54B71268637BDBCCAFC1F28616573D0417611B4AD6A44E1DABF44F07CD7A15CB"
"model\recheck_v4_2_continuity.m","4606","A422F6BD6B856B6CC95223E288BC9950F8F09B8D2E41483D4DCB4B4531CF1817"
"model\rerank_v4_3_candidates.m","4615","E6F30425F6964CC4B3CE1509C1121065C4808B5232C4463CF530EA4CE5720EE7"
"model\resolve_local_machine_paths.m","6901","332E9C2955844052FF82B2E158E02B343C7D2701F70C1BEEB0DA3EBDD2D44E0C"
"model\result_reuse_allowed.m","3096","3D65B27FD96190A4EAD6A9789C4C194F3906FEBD786716F1F8D7002D9B4B3C52"
"model\resume_v4_2_after_continuity_patch.m","2560","1B163CAD1AD566981BFCE43EA9B922C6A5AEAC17AA71237C17AB0238695695AB"
"model\resume_v4_3_after_continuity_patch.m","353","C35BFFD85F365890D7A1A3FBE218710A47CC010DF6771760AC933C5EFBF1B50D"
"model\run_cruise_gust_matrix.m","7536","19F0D285631A5E29F43CE7B83FAE01A1C6CA89CDBC48D469B6855855E08A510D"
"model\run_cruise_range_autotune.m","7566","C91021BE5183552ADC860352B519431FE1FC8BDC6909C0A424106F83857854FD"
"model\run_cruise_range_baseline.m","3292","65CA95C39EBD6928A12C6F919E8094CDEA79D23469E05CFA316BC87686384420"
"model\run_gust_robustness_sweep.m","5382","E3367445D31A27DD6E66C81ADC9ED4F6AA870E40B159AC4425DAA03F44CC51B4"
"model\run_nominal_sim.m","893","D6C521886B8D364C97AB9ED4377EE6000544501C3F3D32BBA6FCE69793FE20D0"
"model\run_pid_autotune.m","22184","6F1D8C147139A6E48E154D8D66736F6E15636ED1EE4D44AA3AFFD49612817136"
"model\run_v4_2_pipeline.m","2341","EB1F2E138E2EC7D5F8E096158DAF7D7993B4A9C8E7726C533A1B8251A7D26C10"
"model\run_v4_3_pipeline.m","384","7AAADB61040B3579F9A60F3AB12CE37BF66ABEFBC7781F8FC6D7558ABCCBC485"
"model\safe_clear_aircraft_outputs.m","994","80B6471B5361108903CE3E3598170F3E43BCEE8496075421432F35D18041223B"
"model\screen_v4_2_gusts.m","3728","C9C42FE0FF2DB7E6B28073DC0A4635B2092E8895D19F935F99B38DBB227E67B8"
"model\set_active_aircraft.m","967","8892A048B421B299C2C696C33689610B71C5EDEF6B0E3FDD19C494CB0C2C267F"
"model\set_gain_group.m","1051","A1414967C61B9A7DF6C928E06C6D09FE68233187695315090A00E2D34125B341"
"model\setup_this_computer.m","5750","8CEE2699B0460A7102A18C08ED30C00B1D0CD36870CDA7FF17CD1946FD038765"
"model\START_HERE.m","1024","27FB1AD8D1B26DE7DAAC4ADD28CB5B420942E9A41C4593CF6C925867E0C50514"
"model\start_uav_autotune.m","5032","011B98D580A54488D939D939ABB3A56034DC08FE16753520CEFC6D75F36127B7"
"model\uav_actuator_sfunc.m","4476","E4DE0C86DC2AFE3CAD01BDCDD68FA1F27B6BF25A569CDAFF961EBCEAF4290BFC"
"model\uav_aero_sfunc.m","5015","34A3AD0A922ECEF5A0645210CB06CB9709C022B4EC76BA56B0B46C46FFCAD225"
"model\uav_autopilot_sfunc.m","13910","629FDEDD97A47C788C9F6D60B63DB76DF22A8F81CFEFDEBA577A541AB97FD1E3"
"model\UAV_Autotune_Model_4Axis_harnessInfo.xml","3447","89A2A1979533645F8A326D86BD056BF8CF34350D106576D1692FF018B97328ED"
"model\UAV_Autotune_Model_4Axis.slx","161812","30A7BB8E7637B9FC204F2A92146EE37B22BCD4007C3F3099608B7E3152901746"
"model\uav_command_sfunc.m","4548","70E420F6A51320287A9F51CB90A61345BFF7C1DA0BCEC4352521687E9934EBB5"
"model\uav_config.m","33462","D0CE43026FFDE5624D6B2D340E06143615B72DCFEC667D56AFE0D0ACD1E4401B"
"model\uav_cruise_case.m","1184","6779A7C92B3B3F8DEF92BE533E793A83DEE88E61632961DEB5A1E8AB58211451"
"model\uav_propulsion_model.m","3344","2EBED429A8FB76040877EE9B4579A0230AE48BEFB917A85EBFE6F689A2EF8766"
"model\uav_propulsion_sfunc.m","2651","92C3C20E64A86767CE13AAACB7473202813504A37DE3DB838A55C4F6AB704EA5"
"model\uav_sensor_sfunc.m","2541","43CB74ED2FE023508E4B879D5BB84468709E68BC6651F453C5ED6496A3970893"
"model\uav_servo_mapping.m","2829","FB19A93BC026F024593D9809F513579FC5E3DA32E9C158BE984FCB461CDC5E9E"
"model\uav_wind_sfunc.m","693","9F7EFF79C12BF2C9C23136276ECEA738F63F5362280A73D1F6514FEB8FF4FE4F"
"model\uav_workspace.m","1937","605B7B766A1B785EBC3CE561A5D7DB1E298E69FB1FE43316348E218C636CFC10"
"model\v4_2_seed_parameters.m","987","0B2536DEC73C8E14C857536E4BEBF7C00D39721D3A17F16E95A307EADD99C768"
"model\V51ArduPilotJSONBridge.m","22541","5BBDC67E0C3FF0B899A680A07B14A4A07DF8B9394C3F2408F9D13A824FFA11DA"
"model\V52ArduPilotJSONBridge.m","25143","AABD032BBD1A590D870FCDC17E796231B5DB974AB0979F2FE68EB2ED8C2C378B"
"model\validate_ardupilot_param_map.m","3892","544BE60D4D4B054D1AA1B7C79C1098345401B2E73EB99C1A9B6131572D39DC7B"
"model\validate_ardupilot_sitl_candidate.m","2646","95C71BD37DA3FD15F661D0EA49C319F5098FD35F7611092A037D8BD2C8C839C9"
"model\validate_param_roundtrip.m","5806","77133BA9EFEE7326E26912A961244EAFBE80D661F71340A8AABAFE815D2ED90A"
"model\validate_uav_model.m","1810","3A44F381B9F815A716F9B6F10733D82A7EAFF7CFA59C57971DC02A4FA1019638"
"model\verify_aircraft_workspace.m","1719","89C094D5E8336EBC90A58612DB0EBC339E6DF07CD917A24224BCC8E54F7429F1"
"model\verify_cruise_range_candidates.m","5717","8EE05AC21E969C346FA6F02DB6D954B486D11917AF14E6603AAE7C11CAFCBBA5"
"model\verify_local_machine_setup.m","1392","D0FDCD3535E3E233A925FC3F68AB052EECA60C21F020999664BD00B925E18E95"
"model\verify_portable_package.m","4625","4CC9E1AE35A65FF50F74BC34B8E7CE9EFC7D822DA52FC77EC858F51622AF7985"
"model\verify_uav_a_v4_3_final_delivery.m","4305","566014454C7F906BE9D67E2F86940A1BDC0E0E393950488007A0689912078EEC"
"model\write_aircraft_workspace_manifest.m","888","61F439AC37B57EC85B7E618671E53FE35E92ACF85686AEC89D7CFDA9370CE9EF"
"model\write_ardupilot_sitl_defaults_v51.m","3327","4A79E1275A2DA1D135CFEAC9710D8E15EF364066F6B376AA4F5F05B44CA3133C"
"model\write_ardupilot_sitl_defaults_v52.m","2919","3E40D6C4E2B881A5ACE3BCD8BAF20B4356E967B418DF7DA965AB513D6E574094"
"model\write_ardupilot_sitl_defaults.m","2579","C32FCE5B5BCBAAF588116E8A703070A802423B52EE57B1269C83E1F78B478214"
"QUICK_START_V5_1.md","3082","5E772A12FBDA15BC6C4B0B7523967DCD8F4AD8BDEDEA42568EC5FBF385C156CA"
"QUICK_START_V5_2.md","883","02F7CD77FF0FE5ECA46CFC8680C90C00AEBB3DDAE5092B807C748E0DAB2C05C6"
"README_V5_1.md","4393","ECBB569502138599C0B6E72C1990DA8708FC9D1554D625CB806F242E42D43EFA"
"README_V5_2.md","2091","60FDD8A1B5D8EFD526CBBE67B6B878CD5EA784D8880ABF43A6F85A0CE90250B7"
"repeatability.csv","1347","7C9503EE1C60D27FDD0CFF5F868B6B33DF0F97ED44996C1A8B7936D95FD51070"
"roll_autotune_candidates.csv","860","4C031F53D7AB910BFDC1C8ED0C5CC66AB273C9F52BFA7E6123C7E294112FED97"
"run_interface_acceptance.m","585","097F7FDC5CDBF822B6E6879ACD17893402AA465C2C922CEE8FA79C79A2BFF42C"
"run_repeatability_test.m","545","567B2A0CC4FD939EE62DC9003EB96238FD63EE0D999E4013F11A1E44C094CBAF"
"run_roll_autotune_baseline.m","7358","8CAE3D66306A10792D5883F4789BDC495B50E7E83F4A8B2804E070E9765C6C89"
"run_smoke_test.m","563","7BCA57C2CD20EBEA2BE07D5086118D893CE6A4D6479F52AFBA843DA5226F9C36"
"run_speedup_test.m","528","860EFE8D356D863595E5AFCFB4F73A5770F37147EE1EA63748DEE68665BB065E"
"run_trial_repeatability.m","4043","E3C1D1A802BC0C4F7FE57E510FBBCAD06E81BEC732F190DD1943EDBA7A26A86E"
"runScenario.m","684","8ED546A1210914D0129F61DFB1EF5AC3F97A1FDCBB623EBA15FE8180CDDD23FC"
